"SITECODE","LCODE","SDATE","SHOUR","SMINS","RECORDER","RECCODE","TEMP","SUNPERC","WSPEEDB","WEEK"
"T02","01",15-AUG-94,11,20,"SW","2",17,100,3,20
"T02","02",15-AUG-94,,,"","",,,,20
"T05","01",15-AUG-94,10,10,"KT","1",19,90,3,20
"T06","01",15-AUG-94,11,40,"JEB","4",28,100,1,20
"T10","01",16-AUG-94,12,40,"RJR","2",21,80,5,20
"T04","02",18-AUG-94,14,30,"IHF","1",16,50,1,20
"T08","01",18-AUG-94,11,0,"CAW","2",19,90,4,20
"T07","01",19-AUG-94,14,4,"TGC","2",15,40,3,21
"T05","01",19-AUG-94,11,30,"KT","1",17,70,5,21
"T03","01",20-AUG-94,11,5,"HDN","2",17,90,3,21
"T08","01",22-AUG-94,11,0,"CAW","2",21.5,90,4,21
"T01","01",23-AUG-94,11,0,"SJC","1",19.5,0,2,21
"T10","01",24-AUG-94,12,10,"CB","1",22,70,6,21
"T06","01",24-AUG-94,10,45,"JEB","4",22,80,3,21
"T07","01",25-AUG-94,11,37,"TGC","2",13,10,2,21
"T05","01",26-AUG-94,11,45,"KT","1",18,40,4,22
"T04","02",26-AUG-94,14,30,"IHF","1",16,100,2,22
"T01","01",26-AUG-94,14,45,"SJC","1",21,90,4,22
"T09","01",28-AUG-94,14,15,"HT","1",19,70,4,22
"T02","01",29-AUG-94,11,40,"SW","2",15.8,90,4,22
"T02","02",29-AUG-94,,,"","",,,,22
"T08","01",30-AUG-94,14,20,"MDM","1",19,10,0,22
"T04","01",31-AUG-94,14,30,"JKA","1",14,0,3,22
"T03","01",31-AUG-94,11,0,"HDN","2",17,70,3,22
"T09","01",02-SEP-94,13,45,"HT","1",19,100,2,23
"T07","01",02-SEP-94,10,55,"TGC","2",14,90,2,23
"T04","02",03-SEP-94,12,30,"IHF","1",18,100,1,23
"T02","01",05-SEP-94,14,30,"SW","2",16.4,60,3,23
"T08","01",05-SEP-94,11,20,"MDM","1",16,60,3,23
"T10","01",05-SEP-94,12,35,"RJR","2",18,90,3,23
"T05","01",05-SEP-94,12,0,"KT","1",16,70,4,23
"T06","01",05-SEP-94,11,45,"JEB","4",24,30,3,23
"T02","02",05-SEP-94,,,"","",,,,23
"T03","01",07-SEP-94,11,0,"HDN","2",15,90,4,23
